MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 70629718484223,13-7-2018 00:00:00,RP8700189210149540,RP46973461801826565147179558989323164,802.00,GBP,13-7-2018,635433,24064222,AMAR'UMAR MUHAMMAD,479781,80241038,Robb Rahlof,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,13-7-2018,812
RPS FPS 80494228023507,18-1-2018 00:00:00,RP4019954229777380,RP46990542154439750483988720779120821,915.00,GBP,18-1-2018,673923,24082222,AMARMUHAMMAD,622913,56132075,Gunar Idell,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,18-1-2018,812
RPS FPS 33389237697726,14-11-2018 00:00:00,RP2267468955889010,RP46871503112208500016284478608982300,979.00,GBP,14-11-2018,867384,24104222,AMAR'ABDALLAH BA',234614,63680586,Dolorita Tregidgo,INVOICES 22 +21,10,FPS,BOOK,COMPLETE,O,934,11,14-11-2018,603
RPS FPS 83762662391920,13-8-2018 00:00:00,RP9661163741683500,RP46843912319012694740684573988760060,345.00,GBP,13-8-2018,771230,24131222,"MUHAMMAD,'UMARAMAR",269453,63121022,Kassie Garretts,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,13-8-2018,612
RPS FPS 78315565092810,3-11-2018 00:00:00,RP3180492100081800,RP46841102371912579954479695478985914,479.00,GBP,3-11-2018,790984,24137222,"UMAR,MUHAMMAD,'ABDALLAH,BA'AMAR",701554,63772427,Derk Christall,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,3-11-2018,612
RPS FPS 34258813756135,6-1-2018 00:00:00,RP7544757715287980,RP46996071936289417558293147008801225,53.00,GBP,6-1-2018,759481,24138222,UMARAMAR,701681,38226504,Leigh Broadbent,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,6-1-2018,812
RPS FPS 83690324636332,3-9-2018 00:00:00,RP6914478538932530,RP46957672349835586222390353048840892,150.00,GBP,3-9-2018,343712,24145222,"UMAR,MUHAMMADAMAR",681788,37516573,Hannie De Gowe,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,3-9-2018,812
RPS FPS 98944666428814,20-10-2018 00:00:00,RP5440381034092060,RP46887461567366418833176503569303259,865.00,GBP,20-10-2018,636881,24153222,"UMAR,MUHAMMAD,'ABDALLAHAMAR",445429,48736118,Latashia Caddock,INVOICES 22 +22,10,FPS,BOOK,COMPLETE,O,934,11,20-10-2018,603
RPS FPS 51954684669111,23-1-2018 00:00:00,RP3097256430756860,RP46846662808656436945082524569033234,868.00,GBP,23-1-2018,529819,24190222,MUHAMMADAMAR,611152,62857586,Ferguson Wintersgill,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-1-2018,612
RPS FPS 94101804222620,22-7-2018 00:00:00,RP4608662815051590,RP46866603257536626590182326689233657,948.00,GBP,22-7-2018,535605,24204222,ABDALLAHAMAR,381373,79994252,Teirtza Huckett,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,22-7-2018,612
RPS FPS 87573304616579,14-11-2018 00:00:00,RP1770679056764750,RP46829781280445473525376485158941718,292.00,GBP,14-11-2018,798740,24214222,BA'AMAR,699289,41252953,Hettie Cops,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,14-11-2018,812
RPS FPS 19689529341785,12-11-2018 00:00:00,RP8034207263732750,RP46907903302777568372885659309140012,32.00,GBP,12-11-2018,550308,24229222,UAMAR,371025,36279391,Tobin Prowse,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,12-11-2018,812
RPS FPS 31133562068807,26-11-2018 00:00:00,RP6386365398659500,RP46905662800487759610587007929163277,946.00,GBP,26-11-2018,341195,24269222,AMARU,864935,85960219,Bucky Cassels,INVOICES 22 +22,10,FPS,BOOK,COMPLETE,O,934,11,26-11-2018,603
RPS FPS 33696864860466,15-6-2018 00:00:00,RP7348259097862450,RP46879613217403658418786586448806067,619.00,GBP,15-6-2018,399716,24285222,"U,MAMAR",267226,76441017,Eliza Moughton,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,15-6-2018,612
RPS FPS 38796323458840,22-10-2018 00:00:00,RP8064204326530080,RP46905623370377422675479506959144189,538.00,GBP,22-10-2018,717085,24286222,AMARU M,675616,57199589,Christoper Bredbury,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,22-10-2018,612
RPS FPS 77515251133333,23-4-2018 00:00:00,RP9172100759930520,RP46820703061048729697989553609341531,588.00,GBP,23-4-2018,283347,24289222,"U,M,AAMAR",854267,37423177,Hatti Bickford,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,23-4-2018,812
RPS FPS 84308394553428,13-4-2018 00:00:00,RP5703210913771000,RP46812203198965716856488648938974793,649.00,GBP,13-4-2018,585492,24334222,AMARU M A,678886,67718069,Chev Cruikshanks,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,13-4-2018,812
RPS FPS 63930667243276,24-9-2018 00:00:00,RP4224218864564220,RP46828252714599554014278041998847393,571.00,GBP,24-9-2018,511905,24364222,"U,M,A,BAMAR",647918,81448680,Elyn Cattenach,INVOICES 22 +23,10,FPS,BOOK,COMPLETE,O,934,11,24-9-2018,603
RPS FPS 59272346066283,6-6-2018 00:00:00,RP6002924509758990,RP46970512383415593603379295138763547,947.00,GBP,6-6-2018,362417,24383222,AMARU M A B,768865,62593660,Lance Tryhorn,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,6-6-2018,612
RPS FPS 16190590158649,8-2-2018 00:00:00,RP8733774058502480,RP46966271604389585729486019819254733,75.00,GBP,8-2-2018,590864,24386222,"UMAR,MAMAR",483658,71109729,Holmes Handling,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,8-2-2018,612
RPS FPS 66493599050965,1-5-2018 00:00:00,RP2563715428192550,RP46858421382050584153977591359277247,544.00,GBP,1-5-2018,770315,24387222,AMAR'UMAR M,703117,49620723,Lammond Canavan,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,1-5-2018,812
RPS FPS 93922063367469,14-9-2018 00:00:00,RP7696752175115030,RP46823882704562558089076617629009912,830.00,GBP,14-9-2018,604949,24403222,"UMAR,AAMAR",593825,35440930,Vergil Younie,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,14-9-2018,812
RPS FPS 15250792375586,15-2-2018 00:00:00,RP9658992718924940,RP46964852884474556360381709229098953,740.00,GBP,15-2-2018,767257,24405222,AMAR'UMAR A,847565,55594289,Athene Cherrison,INVOICES 22 +23,10,FPS,BOOK,COMPLETE,O,934,11,15-2-2018,603
RPS FPS 12311189327637,6-9-2018 00:00:00,RP1595996870061960,RP46925302111557572653483395849224218,213.00,GBP,6-9-2018,557494,24412222,"UMAR,BAMAR",409378,50349109,Modestia Ronan,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,6-9-2018,612
RPS FPS 96896147019427,10-12-2018 00:00:00,RP1860982101097150,RP46995451169448387649188584329221491,472.00,GBP,10-12-2018,813070,24421222,AMAR'UMAR B,605922,47021483,Xenia Grasser,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,10-12-2018,612
RPS FPS 72702202502026,21-10-2018 00:00:00,RP6958668908136810,RP46933332599272612975791039329030803,880.00,GBP,21-10-2018,313873,24430222,MAMAR,550185,67785532,Demetria Axelby,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,21-10-2018,812
RPS FPS 16366219520046,27-12-2018 00:00:00,RP9016687600193220,RP46907482454430603371678878609206888,359.00,GBP,27-12-2018,867776,24453222,AMARM,717394,71686474,Meriel Stroban,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-12-2018,812
RPS FPS 38888260843148,18-10-2018 00:00:00,RP2227060331474250,RP46991862872973655861487652889087012,145.00,GBP,18-10-2018,795817,24479222,AAMAR,516809,51410377,Engelbert Defty,INVOICES 22 +24,10,FPS,BOOK,COMPLETE,O,934,11,18-10-2018,603
RPS FPS 93684646046693,20-1-2018 00:00:00,RP5080439418675370,RP46876772146908712633377723008779653,16.00,GBP,20-1-2018,289727,24484222,AMARA,808578,71011775,Eran Strognell,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-1-2018,612
RPS FPS 26482534088559,23-11-2018 00:00:00,RP5648713596215960,RP46934982412614412399989757708989046,751.00,GBP,23-11-2018,244773,24540222,BAMAR,752444,67610251,Gasper Kemell,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,23-11-2018,612
RPS FPS 94679714978732,3-12-2018 00:00:00,RP1673086800843310,RP46816373001376755664282956268786585,348.00,GBP,3-12-2018,592864,24555222,AMARB,529311,70097398,Ingeborg Fillis,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,3-12-2018,812
RPS FPS 17267462218295,16-5-2018 00:00:00,RP7376746048883460,RP46828673437762646622287826158905208,462.00,GBP,16-5-2018,371986,24566222,AMAR'UMAR,319056,85997062,Sayre Grolmann,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-5-2018,812
RPS FPS 24955809282934,8-3-2018 00:00:00,RP3745842870320970,RP46892841803011358876083581458856548,792.00,GBP,8-3-2018,291248,24577222,AMAR'UMAR MUHAMMAD,493624,55462026,Debee Blucher,INVOICES 22 +24,10,FPS,BOOK,COMPLETE,O,934,11,8-3-2018,603
RPS FPS 24039926469075,25-9-2018 00:00:00,RP3622789016704890,RP46952383380391390032986382769044318,928.00,GBP,25-9-2018,857985,24581222,AMAR'UMAR MUHAMMAD 'ABDALLAH,259531,38920870,Tamma Lavell,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,25-9-2018,612
RPS FPS 14260587060257,6-3-2018 00:00:00,RP8703671205288130,RP46996311205099690854084679209143830,215.00,GBP,6-3-2018,843341,24626222,AMARMUHAMMAD,386133,70740839,Farah Cowl,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,6-3-2018,612
RPS FPS 49627602729986,17-6-2018 00:00:00,RP9058907847100570,RP46847273273215733051085676378807474,841.00,GBP,17-6-2018,282000,24643222,AMAR'ABDALLAH,401517,73886243,Evelyn Lambswood,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-6-2018,812
RPS FPS 52110826513845,14-2-2018 00:00:00,RP1823822359484020,RP46816181302210633190385866159051538,827.00,GBP,14-2-2018,753607,24644222,AMARBA',706168,65155983,Lisbeth Botton,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,14-2-2018,812
RPS FPS 26288022070926,13-4-2018 00:00:00,RP6341060916841550,RP46932832571917652979880833379328745,17.00,GBP,13-4-2018,316348,24653222,"MUHAMMAD,'UMARAMAR",675003,70432076,Hakeem Stell,INVOICES 22 +25,10,FPS,BOOK,COMPLETE,O,934,11,13-4-2018,603
RPS FPS 78693990227931,2-12-2018 00:00:00,RP5054196320440880,RP46943462286525631785489447069341394,879.00,GBP,2-12-2018,847802,24660222,"UMAR,MUHAMMAD,'ABDALLAH,BA'AMAR",349002,46728441,Slade Lenard,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,2-12-2018,612
RPS FPS 28764580953067,15-1-2018 00:00:00,RP3372697989886540,RP46901601297738598415686668839163363,657.00,GBP,15-1-2018,859694,24673222,UMARAMAR,745022,48338143,Belita Saywell,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,15-1-2018,612
RPS FPS 72546982406166,22-3-2018 00:00:00,RP7984726081879850,RP46952912009893367247792444188949875,200.00,GBP,22-3-2018,289408,24703222,"UMAR,MUHAMMADAMAR",271354,53233364,Berri Campa,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,22-3-2018,812
RPS FPS 93321644026929,5-8-2018 00:00:00,RP3607219609780640,RP46954662634017711103087215148997529,553.00,GBP,5-8-2018,802033,24721222,"UMAR,MUHAMMAD,'ABDALLAHAMAR",495054,56568612,Paxon Greenhow,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,5-8-2018,812
RPS FPS 77227688601668,1-10-2018 00:00:00,RP9607480532108250,RP46936341293283597144289359998972516,81.00,GBP,1-10-2018,687863,24740222,"UMAR,MAMAR",607584,50122713,Maxim Goodoune,INVOICES 22 +25,10,FPS,BOOK,COMPLETE,O,934,11,1-10-2018,603
RPS FPS 70463282209238,11-6-2018 00:00:00,RP6522582695861100,RP46821373435075712892876936289164766,564.00,GBP,11-6-2018,372297,24742222,AMARUMAR M,616937,40051424,Nikoletta Esbrook,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,11-6-2018,612
RPS FPS 80289227580146,5-10-2018 00:00:00,RP7142786040236210,RP46938652578550643818580096829243508,505.00,GBP,5-10-2018,751554,24772222,"UMAR,AAMAR",863273,35718033,Tresa Lardiner,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,5-10-2018,612
RPS FPS 64632391717970,18-12-2018 00:00:00,RP2439764285683210,RP46928232178427721393883595519332281,685.00,GBP,18-12-2018,620000,24781222,AMARUMAR A,503561,70797552,Rozanne Ivakin,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,18-12-2018,812
RPS FPS 61483360021747,19-11-2018 00:00:00,RP2006596632479230,RP46992441843839709420287134459163858,376.00,GBP,19-11-2018,535986,24782222,"UMAR,BAMAR",396298,73492556,Tonnie Finnemore,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-11-2018,812
RPS FPS 17380430433416,12-7-2018 00:00:00,RP3787015029821900,RP46800282353341754862877720589220307,655.00,GBP,12-7-2018,516225,24821222,AMARUMAR B,568588,84152621,Miquela Dicty,INVOICES 22 +26,10,FPS,BOOK,COMPLETE,O,934,11,12-7-2018,603
RPS FPS 28801744653820,20-5-2018 00:00:00,RP7495626696815600,RP46984272595847368881176658558908802,186.00,GBP,20-5-2018,441024,24898222,AMARUMAR,827524,75135160,Karol Wallworth,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-5-2018,612
RPS FPS 31234057626527,5-5-2018 00:00:00,RP7622934541846980,RP46817881463221406280986739548810352,68.00,GBP,5-5-2018,494520,24920222,AMARUMAR MUHAMMAD,518344,66747461,Keslie Attkins,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,5-5-2018,612
RPS FPS 47202010108406,2-7-2018 00:00:00,RP3895367966958590,RP46801823172783502493778954249047796,506.00,GBP,2-7-2018,365431,24943222,AMARUMAR MUHAMMAD 'ABDALLAH,856941,53285659,Kameko Bunny,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,2-7-2018,812
RPS FPS 40355200666649,5-4-2018 00:00:00,RP3154564062081470,RP46898962852132426083689960258822687,133.00,GBP,5-4-2018,759651,24957222,"MUHAMMAD,UMARAMAR",303328,78928279,Fifi Cockings,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,5-4-2018,812
RPS FPS 12827352964938,20-4-2018 00:00:00,RP7755213850348150,RP46875392539850583437490179789256686,78.00,GBP,20-4-2018,866475,24969222,WAFA'NAJJAR,532698,86617757,Marrissa Gutowski,INVOICES 22 +26,10,FPS,BOOK,COMPLETE,O,934,11,20-4-2018,603
RPS FPS 43160508166280,27-9-2018 00:00:00,RP1581086686974890,RP46859791935783425539480971639261537,581.00,GBP,27-9-2018,496830,25005222,WNAJJAR,781636,38653585,Lucretia Gopsall,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,27-9-2018,612
RPS FPS 33984649326683,21-12-2018 00:00:00,RP8465220837558480,RP46937712745374710447382319618961874,555.00,GBP,21-12-2018,463886,25033222,NAJJARW,357564,83374186,Lenore Nickols,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,21-12-2018,612
RPS FPS 10972403887987,1-1-2018 00:00:00,RP9461279142960610,RP46947752062669724792286211089029687,261.00,GBP,1-1-2018,279217,25060222,BAHA'AL-LAYIQ,325166,65940041,Gwenneth Schultes,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,1-1-2018,812
RPS FPS 49496532724596,27-1-2018 00:00:00,RP8768966481870470,RP46907102022457715158688472229221434,178.00,GBP,27-1-2018,571047,25119222,BAL-LAYIQ,493772,70977601,Pepita Roffe,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-1-2018,812
RPS FPS 57112452791383,15-12-2018 00:00:00,RP4056125152502540,RP46912381697406589047980247289336348,975.00,GBP,15-12-2018,393392,25149222,AL-LAYIQB,454413,53757792,Sanderson Worsell,INVOICES 22 +27,10,FPS,BOOK,COMPLETE,O,934,11,15-12-2018,603
RPS FPS 41439430313043,3-2-2018 00:00:00,RP1097500622228860,RP46910501713136553535386034388907615,72.00,GBP,3-2-2018,459685,25156222,JAMA'JAMA',252007,79874628,Davita Rollason,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,3-2-2018,612
RPS FPS 97189023598113,25-9-2018 00:00:00,RP3835753600511860,RP46851722969871374269380224968883942,995.00,GBP,25-9-2018,522782,25200222,JJAMA',392236,83281591,Kial Zmitrovich,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,25-9-2018,612
RPS FPS 69631243917953,26-12-2018 00:00:00,RP7568412149698770,RP46805871585601616229584555409132978,710.00,GBP,26-12-2018,245391,25251222,JAMA'J,237591,87242228,Elden Dulake,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,26-12-2018,812
RPS FPS 31774283460188,5-3-2018 00:00:00,RP2483474784714920,RP46854702690665538040784018929201172,388.00,GBP,5-3-2018,440997,25269222,ABU SHAIMA'KUWAITIWEAK,860467,35069122,Jannelle Shee,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,5-3-2018,812
RPS FPS 16097063538802,17-12-2018 00:00:00,RP3953067975033960,RP46883453083919614996079957858927126,240.00,GBP,17-12-2018,296048,25285222,"ABU,SHAIMA'KUWAITI",380347,69393507,Scott Mayho,INVOICES 22 +27,10,FPS,BOOK,COMPLETE,O,934,11,17-12-2018,603
RPS FPS 73805405721828,5-8-2018 00:00:00,RP3140850571193850,RP46989471231287608730180940549126602,77.00,GBP,5-8-2018,643064,25295222,ABUKUWAITI,742050,56642581,Candy Guilder,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,5-8-2018,612
RPS FPS 59021067130775,9-3-2018 00:00:00,RP6976338636946740,RP46979301437823626201982992688909636,983.00,GBP,9-3-2018,687827,25338222,SHAIMA'KUWAITI,352926,69983532,Myca Horder,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,9-3-2018,612
RPS FPS 72536403608239,20-2-2018 00:00:00,RP1522974442031760,RP46983461814304488415180860618872968,118.00,GBP,20-2-2018,349371,25348222,AKUWAITI,244124,52208582,Latrina Mimmack,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-2-2018,812
RPS FPS 63820477918089,4-4-2018 00:00:00,RP3803589583295540,RP46894233431269629265980732908868147,939.00,GBP,4-4-2018,697404,25375222,KUWAITIA,440374,69325223,Claudelle Braime,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,4-4-2018,812
RPS FPS 58458905760472,1-6-2018 00:00:00,RP9686545851988210,RP46875203429589650478892807909242231,70.00,GBP,1-6-2018,619656,25406222,"A,SKUWAITI",838413,77659937,Minna Shelf,INVOICES 22 +28,10,FPS,BOOK,COMPLETE,O,934,11,1-6-2018,603
RPS FPS 38901405111419,11-10-2018 00:00:00,RP9629970604203790,RP46960321708777644871578927968821597,654.00,GBP,11-10-2018,699807,25436222,KUWAITIA S,756970,58365464,Fifi Walsh,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,11-10-2018,612
RPS FPS 22568876246406,16-8-2018 00:00:00,RP1136149156905190,RP46810312296120457389380967399098800,579.00,GBP,16-8-2018,450490,25478222,"ABU,SKUWAITI",490697,76532646,Linnie Prandin,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,16-8-2018,612
RPS FPS 32033693491095,19-6-2018 00:00:00,RP5182299650961800,RP46899221477509347436784197199166991,943.00,GBP,19-6-2018,377613,25497222,KUWAITIABU S,433317,55099554,Georgiana Hollindale,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,19-6-2018,812
RPS FPS 84410277959665,10-10-2018 00:00:00,RP6432390493306860,RP46853362871137743388879873359064839,266.00,GBP,10-10-2018,372688,25509222,SKUWAITI,588858,42319829,Mimi McGaffey,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,10-10-2018,812
RPS FPS 15170383123578,8-5-2018 00:00:00,RP5372055156279170,RP46914671586414530500181295799247933,102.00,GBP,8-5-2018,595441,25608222,KUWAITIS,235375,51004916,Kilian Chooter,INVOICES 22 +28,10,FPS,BOOK,COMPLETE,O,934,11,8-5-2018,603
