QMS Case Ref,FPS Ref,Customer Details,Bank Type,Payment Type,Error Type,Reason for Claim,ReasonForClaimOther,Case Status,Creation Date,Inquiry Amount
QMS827943-984306,RP7475626676815601,Karol Wallworth,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect SRT code,New-Misdirect,13-07-2018,186
QMS167436-514231,RP7622734541846781,Keslie Attkins,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect SRT code,New-Misdirect,14-07-2018,68
QMS260765-309828,RP3895367966958591,Kameko Bunny,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,15-07-2018,506
QMS952454-356039,RP3154564062081471,Fifi Cockings,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,16-07-2018,133
QMS823386-662313,RP7755213850348151,Marrissa Gutowski,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,17-07-2018,78
QMS681301-889437,RP1581086686974891,Lucretia Gopsall,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,18-07-2018,581
QMS214767-105043,RP8465220837558481,Lenore Nickols,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,19-07-2018,555
QMS672082-871245,RP9461279142960611,Gwenneth Schultes,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,20-07-2018,261
QMS790781-320527,RP8768966481870471,Pepita Roffe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,21-07-2018,178
QMS765083-335329,RP4056125152502541,Sanderson Worsell,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,22-07-2018,975
QMS691148-705707,RP1097500622228861,Davita Rollason,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,23-07-2018,72
QMS933278-120263,RP3835753600511861,Kial Zmitrovich,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,24-07-2018,995
QMS726020-615510,RP7568412149698771,Elden Dulake,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,25-07-2018,710
QMS769797-464902,RP2483474784714921,Jannelle Shee,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,26-07-2018,388
QMS432090-116437,RP3953067975033961,Scott Mayho,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,27-07-2018,240
QMS580736-475346,RP3140850571193851,Candy Guilder,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,28-07-2018,77
QMS624571-766309,RP6976338636946741,Myca Horder,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,29-07-2018,983
QMS144001-927917,RP1522974442031761,Latrina Mimmack,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,30-07-2018,118
QMS602046-910164,RP3803589583295541,Claudelle Braime,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,31-07-2018,939
QMS518692-661240,RP9686545851988211,Minna Shelf,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,01-08-2018,70
QMS182963-277104,RP9629970604203791,Fifi Walsh,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,02-08-2018,654
QMS935502-224407,RP1136149156905191,Linnie Prandin,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,03-08-2018,579
QMS971408-550210,RP5182299650961801,Georgiana Hollindale,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,04-08-2018,943
QMS177662-361735,RP6432390493306861,Mimi McGaffey,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,05-08-2018,266
QMS805509-844050,RP5372055156279171,Kilian Chooter,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,06-08-2018,102
QMS474857-166912,RP6673117329038101,Gerhard Clarage,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,07-08-2018,385
QMS211523-811044,RP5958961015937711,Pierre Dunnan,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,08-08-2018,113
QMS423670-813004,RP3375946964700201,Hurlee Holby,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,09-08-2018,623
QMS116066-165980,RP5732599848307181,Urbanus Water,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,10-08-2018,566
QMS116275-689171,RP7937845616045351,Amandi Gilmour,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,11-08-2018,406
QMS375716-253642,RP1559599415195801,Bjorn Maddrah,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,12-08-2018,863
QMS842198-752889,RP8859037005840021,Elisabetta Mebius,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,13-08-2018,413
QMS828733-564888,RP8151270012823661,Ely Tracey,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,14-08-2018,814
QMS198079-621819,RP8887388597722341,Simmonds Camerati,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,15-08-2018,566
QMS214280-888359,RP5538381196624061,Amos Guierre,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,16-08-2018,519
QMS178050-898745,RP5350814700423351,Dorothy Paske,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,17-08-2018,437
QMS944780-812114,RP1513829183325661,Pietra Pes,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,18-08-2018,961
QMS364775-974326,RP9413018564794441,Heda Gaveltone,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,19-08-2018,764
QMS999203-667554,RP7097669257707401,Dani Schwerin,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,20-08-2018,379
QMS576528-811415,RP3626477455711491,Axe Hawkin,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,21-08-2018,864
QMS859234-866446,RP4782027476570551,Mariette Pendrick,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,22-08-2018,163
QMS203149-663180,RP4906068179592751,Marcellina Ciccoloi,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,23-08-2018,55
QMS921947-730900,RP1282047433941821,Elvira Fearfull,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,24-08-2018,661
QMS423719-600093,RP7985359528058921,Bill Cobbald,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,25-08-2018,688
QMS450720-388852,RP7776649408919101,Tandy Nelsen,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,26-08-2018,266
QMS314523-234815,RP2375186021749471,Constantin Dumbar,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,27-08-2018,352
QMS732890-783847,RP7844501423968761,Dalston Robbert,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,28-08-2018,587
QMS779447-807699,RP8049728743868031,Aubree Tatersale,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,29-08-2018,605
QMS208902-892953,RP6936596070544971,Morgan Preshous,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,30-08-2018,327
QMS554477-665829,RP3486381075197741,Gerhard Trench,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,31-08-2018,76
QMS294957-156682,RP6897764925126201,Grata Wolseley,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,01-09-2018,546
QMS773674-886563,RP7339082782040421,Antonetta Shipton,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,02-09-2018,263
QMS691596-727147,RP9027040646095961,Ly Pullan,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,03-09-2018,983
QMS950118-755117,RP2387260350779261,Carter Sparks,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,04-09-2018,276
QMS351740-457942,RP3439823571071921,Annadiane Sample,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,05-09-2018,377
QMS738268-283803,RP9566620283969401,Chaddie Marshfield,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,06-09-2018,682
QMS586450-309883,RP9233115296226751,Ruddie Albasiny,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,07-09-2018,114
QMS904138-411410,RP8812487209413841,Anatola Driffe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,08-09-2018,784
QMS616719-407565,RP1509451965107381,Kristopher Broxis,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,09-09-2018,733
QMS816519-506655,RP4757210456098541,Nicol Pidon,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,10-09-2018,893
QMS588809-109835,RP6606687057478681,Gale Humble,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,11-09-2018,139
QMS507516-335991,RP6604851073240771,Marietta Achurch,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,12-09-2018,931
QMS211904-239306,RP5740718815979421,Timothee Griffithe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,13-09-2018,784
QMS369204-210104,RP1899623546686771,Jamison Clarson,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,14-09-2018,553
QMS699735-781920,RP8193873871959231,Rozella Joselovitch,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,15-09-2018,251
QMS861423-486854,RP2594272136703821,Jaquenette Sydry,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,16-09-2018,922
QMS918834-870970,RP4883727447227961,Donnie McPartlin,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,17-09-2018,379
QMS142610-682198,RP9835588296351071,Alphonso Hindshaw,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Resolved-Misdirect,18-09-2018,796
QMS518071-442069,RP8172631593830631,Ivor Pooke,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,19-09-2018,236
QMS801064-976832,RP5032235701882501,Rog Staner,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,Pending-Misdirect,20-09-2018,108
QMS425621-500460,RP3337142375122141,Gilbertina Greatreax,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,21-09-2018,623
QMS918941-689010,RP3563405749743681,Con Jimmison,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Account Number,New-Misdirect,22-09-2018,79
QMS543520-859063,RP1121198329744001,Paul Elwell,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,23-09-2018,324
QMS382491-610390,RP3780722954287971,Karyn Ottam,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,24-09-2018,700
QMS637125-227505,RP3992668990303361,Wildon Sevior,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,25-09-2018,372
QMS426939-332766,RP7809612350201561,Laurel Verny,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,26-09-2018,40
QMS384041-144195,RP2026616268144111,Wade Kennington,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,27-09-2018,40
QMS825860-913059,RP4482987442095871,Blinny Bresner,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,28-09-2018,578
QMS585674-434552,RP6227069687107121,Hakim Kerner,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,29-09-2018,475
QMS483904-323264,RP2295161117255121,Kathleen Sappson,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,30-09-2018,245
QMS799426-180182,RP2994039989514151,Caye Januszewski,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,01-10-2018,410
QMS810671-205264,RP6793600808581911,Margret Kett,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,02-10-2018,768
QMS440307-618160,RP4296793836143181,Rikki Keeri,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,03-10-2018,783
QMS880834-472056,RP4439583066293801,Adriana Prowse,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,04-10-2018,49
QMS507317-626916,RP6037050673042331,Kliment Gothrup,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,05-10-2018,815
QMS424344-878935,RP9907137287251011,Cornelia Smallacombe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,06-10-2018,466
QMS986300-302954,RP7693185862728351,Bing Layhe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,07-10-2018,78
QMS974511-942086,RP2968743755633111,Vin Davenhill,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,08-10-2018,759
QMS508052-770884,RP3525406297347331,Riva Lawtie,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,09-10-2018,662
QMS898346-639974,RP2401432521411131,Darci Ailward,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,10-10-2018,942
QMS781328-953250,RP2060832326175921,Ronna Nancarrow,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,11-10-2018,990
QMS309460-266617,RP3160155381246531,Aluin Mizzen,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,12-10-2018,877
QMS909620-343981,RP6946173521183551,Artemis Crosse,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,13-10-2018,489
QMS445420-582514,RP3577928820378631,Jaine Peploe,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,14-10-2018,171
QMS456203-938798,RP3714412336776631,Nial Dyde,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,15-10-2018,160
QMS874532-255062,RP1236699371801011,Marius Fripps,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,16-10-2018,971
