FPS Payment data,,,,,,,,,,,,,,,,,,,,,,
MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 43358851289192,17-10-2018 00:00,RP2938026134305080,RP46828283439417614432686852949177762,584,GBP,17-10-2018,871184,23778222,Gaylord Barlass,523116,70725040,AMARU M A,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-10-2018,812
RPS FPS 36828902369511,15-06-2018 00:00,RP2183135903487290,RP46998781840741630492777634069188788,710,GBP,15-06-2018,382738,23782222,Malia Paybody,858056,59552952,"UMAR,MAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,15-06-2018,812
RPS FPS 16970453922430,08-06-2018 00:00,RP8550960365958100,RP46971572131274568125680067568769434,257,GBP,08-06-2018,463907,23804222,Hayes Ayris,427886,74034819,AMAR'UMAR M,INVOICES 22 +20,10,FPS,BOOK,COMPLETE,O,934,11,08-06-2018,603
RPS FPS 24329841192645,15-01-2018 00:00,RP5454350424493940,RP46855433088031420315987913528975955,896,GBP,15-01-2018,407485,23848222,Elberta Gibbon,661977,60159698,"UMAR,AAMAR",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,15-01-2018,612
RPS FPS 79722488502527,11-01-2018 00:00,RP1223462922609270,RP46890042268284760717687181728893641,373,GBP,11-01-2018,632221,23856222,Alyosha Nesbit,257474,55774368,AMAR'UMAR A,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,11-01-2018,612
RPS FPS 40284061517695,12-12-2018 00:00,RP5969383583798170,RP46834002151167524886876476679316534,113,GBP,12-12-2018,505313,23895222,Steffane O'Dowd,644112,65957145,MAMAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,12-12-2018,812
RPS FPS 13021591453287,01-02-2018 00:00,RP3298325437861490,RP46814313033153391137484213479312577,256,GBP,01-02-2018,235222,23912222,Alisun Switsur,603253,51811006,AMARM,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,01-02-2018,812
RPS FPS 96425578441618,08-06-2018 00:00,RP2177159261501790,RP46828682126879695856889923058833219,966,GBP,08-06-2018,636953,23930222,Tito Bellefonte,488133,78320696,AAMAR,INVOICES 22 +21,10,FPS,BOOK,COMPLETE,O,934,11,08-06-2018,603
RPS FPS 72549899065706,21-07-2018 00:00,RP1060390780591710,RP46947592712415759973586213469015606,455,GBP,21-07-2018,336429,23976222,Vic Sackett,551246,36899770,AMARA,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,21-07-2018,612
RPS FPS 30836698551205,27-06-2018 00:00,RP8700189210149540,RP46862981651084479509281012319028811,30,GBP,27-06-2018,625471,24054222,Iosep Goodings,352789,53902537,AMAR'UMAR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,27-06-2018,612
RPS FPS 70629718484223,13-07-2018 00:00,RP4019954229777380,RP46947311606576385720882361159254658,802,GBP,13-07-2018,635433,24064222,Robb Rahlof,479781,80241038,AMAR'UMAR MUHAMMAD,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,13-07-2018,812
RPS FPS 80494228023507,18-01-2018 00:00,RP2267468955889010,RP46973461801826565147179558989323164,915,GBP,18-01-2018,673923,24082222,Gunar Idell,622913,56132075,AMARMUHAMMAD,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,18-01-2018,812
RPS FPS 33389237697726,14-11-2018 00:00,RP9661163741683500,RP46990542154439750483988720779120821,979,GBP,14-11-2018,867384,24104222,Dolorita Tregidgo,234614,63680586,AMAR'ABDALLAH BA',INVOICES 22 +21,10,FPS,BOOK,COMPLETE,O,934,11,14-11-2018,603
RPS FPS 83762662391920,13-08-2018 00:00,RP3180492100081800,RP46871503112208500016284478608982300,345,GBP,13-08-2018,771230,24131222,Kassie Garretts,269453,63121022,"MUHAMMAD,'UMARAMAR",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,13-08-2018,612
RPS FPS 78315565092810,03-11-2018 00:00,RP7544757715287980,RP46843912319012694740684573988760060,479,GBP,03-11-2018,790984,24137222,Derk Christall,701554,63772427,"UMAR,MUHAMMAD,'ABDALLAH,BA'AMAR",TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,03-11-2018,612
RPS FPS 34258813756135,06-01-2018 00:00,RP6914478538932530,RP46841102371912579954479695478985914,53,GBP,06-01-2018,759481,24138222,Leigh Broadbent,701681,38226504,UMARAMAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,06-01-2018,812
RPS FPS 83690324636332,03-09-2018 00:00,RP5440381034092060,RP46996071936289417558293147008801225,150,GBP,03-09-2018,343712,24145222,Hannie De Gowe,681788,37516573,"UMAR,MUHAMMADAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,03-09-2018,812
RPS FPS 98944666428814,20-10-2018 00:00,RP3097256430756860,RP46957672349835586222390353048840892,865,GBP,20-10-2018,636881,24153222,Latashia Caddock,445429,48736118,"UMAR,MUHAMMAD,'ABDALLAHAMAR",INVOICES 22 +22,10,FPS,BOOK,COMPLETE,O,934,11,20-10-2018,603
RPS FPS 51954684669111,23-01-2018 00:00,RP4608662815051590,RP46887461567366418833176503569303259,868,GBP,23-01-2018,529819,24190222,Ferguson Wintersgill,611152,62857586,MUHAMMADAMAR,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-01-2018,612
RPS FPS 94101804222620,22-07-2018 00:00,RP1770679056764750,RP46846662808656436945082524569033234,948,GBP,22-07-2018,535605,24204222,Teirtza Huckett,381373,79994252,ABDALLAHAMAR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,22-07-2018,612
RPS FPS 87573304616579,14-11-2018 00:00,RP8034207263732750,RP46866603257536626590182326689233657,292,GBP,14-11-2018,798740,24214222,Hettie Cops,699289,41252953,BA'AMAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,14-11-2018,812
RPS FPS 19689529341785,12-11-2018 00:00,RP6386365398659500,RP46829781280445473525376485158941718,32,GBP,12-11-2018,550308,24229222,Tobin Prowse,371025,36279391,UAMAR,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,12-11-2018,812
RPS FPS 31133562068807,26-11-2018 00:00,RP7348259097862450,RP46907903302777568372885659309140012,946,GBP,26-11-2018,341195,24269222,Bucky Cassels,864935,85960219,AMARU,INVOICES 22 +22,10,FPS,BOOK,COMPLETE,O,934,11,26-11-2018,603
RPS FPS 33696864860466,15-06-2018 00:00,RP8064204326530080,RP46905662800487759610587007929163277,619,GBP,15-06-2018,399716,24285222,Eliza Moughton,267226,76441017,"U,MAMAR",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,15-06-2018,612
RPS FPS 38796323458840,22-10-2018 00:00,RP9172100759930520,RP46879613217403658418786586448806067,538,GBP,22-10-2018,717085,24286222,Christoper Bredbury,675616,57199589,AMARU M,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,22-10-2018,612
RPS FPS 77515251133333,23-04-2018 00:00,RP5703210913771000,RP46905623370377422675479506959144189,588,GBP,23-04-2018,283347,24289222,Hatti Bickford,854267,37423177,"U,M,AAMAR",ABDO,10,FPS,BOOK,COMPLETE,O,934,13,23-04-2018,812
RPS FPS 84308394553428,13-04-2018 00:00,RP4224218864564220,RP46820703061048729697989553609341531,649,GBP,13-04-2018,585492,24334222,Chev Cruikshanks,678886,67718069,AMARU M A,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,13-04-2018,812
RPS FPS 63930667243276,24-09-2018 00:00,RP6002924509758990,RP46812203198965716856488648938974793,571,GBP,24-09-2018,511905,24364222,Elyn Cattenach,647918,81448680,"U,M,A,BAMAR",INVOICES 22 +23,10,FPS,BOOK,COMPLETE,O,934,11,24-09-2018,603
RPS FPS 59272346066283,06-06-2018 00:00,RP8733774058502480,RP46828252714599554014278041998847393,947,GBP,06-06-2018,362417,24383222,Lance Tryhorn,768865,62593660,AMARU M A B,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,06-06-2018,612
RPS FPS 16190590158649,08-02-2018 00:00,RP2563715428192550,RP46970512383415593603379295138763547,75,GBP,08-02-2018,590864,24386222,Holmes Handling,483658,71109729,"UMAR,MAMAR",TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,08-02-2018,612
RPS FPS 66493599050965,01-05-2018 00:00,RP7696752175115030,RP46966271604389585729486019819254733,544,GBP,01-05-2018,770315,24387222,Lammond Canavan,703117,49620723,AMAR'UMAR M,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,01-05-2018,812
RPS FPS 93922063367469,14-09-2018 00:00,RP9658992718924940,RP46858421382050584153977591359277247,830,GBP,14-09-2018,604949,24403222,Vergil Younie,593825,35440930,"UMAR,AAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,14-09-2018,812
RPS FPS 15250792375586,15-02-2018 00:00,RP1595996870061960,RP46823882704562558089076617629009912,740,GBP,15-02-2018,767257,24405222,Athene Cherrison,847565,55594289,AMAR'UMAR A,INVOICES 22 +23,10,FPS,BOOK,COMPLETE,O,934,11,15-02-2018,603
RPS FPS 12311189327637,06-09-2018 00:00,RP1860982101097150,RP46964852884474556360381709229098953,213,GBP,06-09-2018,557494,24412222,Modestia Ronan,409378,50349109,"UMAR,BAMAR",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,06-09-2018,612
RPS FPS 96896147019427,10-12-2018 00:00,RP6958668908136810,RP46925302111557572653483395849224218,472,GBP,10-12-2018,813070,24421222,Xenia Grasser,605922,47021483,AMAR'UMAR B,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,10-12-2018,612
RPS FPS 72702202502026,21-10-2018 00:00,RP9016687600193220,RP46995451169448387649188584329221491,880,GBP,21-10-2018,313873,24430222,Demetria Axelby,550185,67785532,MAMAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,21-10-2018,812
RPS FPS 16366219520046,27-12-2018 00:00,RP2227060331474250,RP46933332599272612975791039329030803,359,GBP,27-12-2018,867776,24453222,Meriel Stroban,717394,71686474,AMARM,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-12-2018,812
RPS FPS 38888260843148,18-10-2018 00:00,RP5080439418675370,RP46907482454430603371678878609206888,145,GBP,18-10-2018,795817,24479222,Engelbert Defty,516809,51410377,AAMAR,INVOICES 22 +24,10,FPS,BOOK,COMPLETE,O,934,11,18-10-2018,603
RPS FPS 93684646046693,20-01-2018 00:00,RP5648713596215960,RP46991862872973655861487652889087012,16,GBP,20-01-2018,289727,24484222,Eran Strognell,808578,71011775,AMARA,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-01-2018,612
RPS FPS 26482534088559,23-11-2018 00:00,RP1673086800843310,RP46876772146908712633377723008779653,751,GBP,23-11-2018,244773,24540222,Gasper Kemell,752444,67610251,BAMAR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,23-11-2018,612
RPS FPS 94679714978732,03-12-2018 00:00,RP7376746048883460,RP46934982412614412399989757708989046,348,GBP,03-12-2018,592864,24555222,Ingeborg Fillis,529311,70097398,AMARB,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,03-12-2018,812
RPS FPS 17267462218295,16-05-2018 00:00,RP3745842870320970,RP46816373001376755664282956268786585,462,GBP,16-05-2018,371986,24566222,Sayre Grolmann,319056,85997062,AMAR'UMAR,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-05-2018,812
RPS FPS 24955809282934,08-03-2018 00:00,RP3622789016704890,RP46828673437762646622287826158905208,792,GBP,08-03-2018,291248,24577222,Debee Blucher,493624,55462026,AMAR'UMAR MUHAMMAD,INVOICES 22 +24,10,FPS,BOOK,COMPLETE,O,934,11,08-03-2018,603
RPS FPS 24039926469075,25-09-2018 00:00,RP8703671205288130,RP46892841803011358876083581458856548,928,GBP,25-09-2018,857985,24581222,Tamma Lavell,259531,38920870,AMAR'UMAR MUHAMMAD 'ABDALLAH,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,25-09-2018,612
RPS FPS 14260587060257,06-03-2018 00:00,RP9058907847100570,RP46952383380391390032986382769044318,215,GBP,06-03-2018,843341,24626222,Farah Cowl,386133,70740839,AMARMUHAMMAD,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,06-03-2018,612
RPS FPS 49627602729986,17-06-2018 00:00,RP1823822359484020,RP46996311205099690854084679209143830,841,GBP,17-06-2018,282000,24643222,Evelyn Lambswood,401517,73886243,AMAR'ABDALLAH,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-06-2018,812
RPS FPS 52110826513845,14-02-2018 00:00,RP6341060916841550,RP46847273273215733051085676378807474,827,GBP,14-02-2018,753607,24644222,Lisbeth Botton,706168,65155983,AMARBA',NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,14-02-2018,812
RPS FPS 26288022070926,13-04-2018 00:00,RP5054196320440880,RP46816181302210633190385866159051538,17,GBP,13-04-2018,316348,24653222,Hakeem Stell,675003,70432076,"MUHAMMAD,'UMARAMAR",INVOICES 22 +25,10,FPS,BOOK,COMPLETE,O,934,11,13-04-2018,603
RPS FPS 78693990227931,02-12-2018 00:00,RP3372697989886540,RP46932832571917652979880833379328745,879,GBP,02-12-2018,847802,24660222,Slade Lenard,349002,46728441,"UMAR,MUHAMMAD,'ABDALLAH,BA'AMAR",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,02-12-2018,612
RPS FPS 28764580953067,15-01-2018 00:00,RP7984726081879850,RP46943462286525631785489447069341394,657,GBP,15-01-2018,859694,24673222,Belita Saywell,745022,48338143,UMARAMAR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,15-01-2018,612
RPS FPS 72546982406166,22-03-2018 00:00,RP3607219609780640,RP46901601297738598415686668839163363,200,GBP,22-03-2018,289408,24703222,Berri Campa,271354,53233364,"UMAR,MUHAMMADAMAR",ABDO,10,FPS,BOOK,COMPLETE,O,934,13,22-03-2018,812
RPS FPS 93321644026929,05-08-2018 00:00,RP9607480532108250,RP46952912009893367247792444188949875,553,GBP,05-08-2018,802033,24721222,Paxon Greenhow,495054,56568612,"UMAR,MUHAMMAD,'ABDALLAHAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,05-08-2018,812
RPS FPS 77227688601668,01-10-2018 00:00,RP6522582695861100,RP46954662634017711103087215148997529,81,GBP,01-10-2018,687863,24740222,Maxim Goodoune,607584,50122713,"UMAR,MAMAR",INVOICES 22 +25,10,FPS,BOOK,COMPLETE,O,934,11,01-10-2018,603
RPS FPS 70463282209238,11-06-2018 00:00,RP7142786040236210,RP46936341293283597144289359998972516,564,GBP,11-06-2018,372297,24742222,Nikoletta Esbrook,616937,40051424,AMARUMAR M,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,11-06-2018,612
RPS FPS 80289227580146,05-10-2018 00:00,RP2439764285683210,RP46821373435075712892876936289164766,505,GBP,05-10-2018,751554,24772222,Tresa Lardiner,863273,35718033,"UMAR,AAMAR",TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,05-10-2018,612
RPS FPS 64632391717970,18-12-2018 00:00,RP2006596632479230,RP46938652578550643818580096829243508,685,GBP,18-12-2018,620000,24781222,Rozanne Ivakin,503561,70797552,AMARUMAR A,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,18-12-2018,812
RPS FPS 61483360021747,19-11-2018 00:00,RP3787015029821900,RP46928232178427721393883595519332281,376,GBP,19-11-2018,535986,24782222,Tonnie Finnemore,396298,73492556,"UMAR,BAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-11-2018,812
RPS FPS 17380430433416,12-07-2018 00:00,RP7495626696815600,RP46992441843839709420287134459163858,655,GBP,12-07-2018,516225,24821222,Miquela Dicty,568588,84152621,AMARUMAR B,INVOICES 22 +26,10,FPS,BOOK,COMPLETE,O,934,11,12-07-2018,603
RPS FPS 28801744653820,20-05-2018 00:00,RP7622934541846980,RP46800282353341754862877720589220307,186,GBP,20-05-2018,441024,24898222,Karol Wallworth,827524,75135160,AMARUMAR,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-05-2018,612
RPS FPS 31234057626527,05-05-2018 00:00,RP3895367966958590,RP46984272595847368881176658558908802,68,GBP,05-05-2018,494520,24920222,Keslie Attkins,518344,66747461,AMARUMAR MUHAMMAD,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,05-05-2018,612
RPS FPS 47202010108406,02-07-2018 00:00,RP3154564062081470,RP46817881463221406280986739548810352,506,GBP,02-07-2018,365431,24943222,Kameko Bunny,856941,53285659,AMARUMAR MUHAMMAD 'ABDALLAH,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,02-07-2018,812
RPS FPS 40355200666649,05-04-2018 00:00,RP7755213850348150,RP46801823172783502493778954249047796,133,GBP,05-04-2018,759651,24957222,Fifi Cockings,303328,78928279,"MUHAMMAD,UMARAMAR",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,05-04-2018,812
RPS FPS 12827352964938,20-04-2018 00:00,RP1581086686974890,RP46898962852132426083689960258822687,78,GBP,20-04-2018,866475,24969222,Marrissa Gutowski,532698,86617757,WAFA'NAJJAR,INVOICES 22 +26,10,FPS,BOOK,COMPLETE,O,934,11,20-04-2018,603
RPS FPS 43160508166280,27-09-2018 00:00,RP8465220837558480,RP46875392539850583437490179789256686,581,GBP,27-09-2018,496830,25005222,Lucretia Gopsall,781636,38653585,WNAJJAR,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,27-09-2018,612
RPS FPS 33984649326683,21-12-2018 00:00,RP9461279142960610,RP46859791935783425539480971639261537,555,GBP,21-12-2018,463886,25033222,Lenore Nickols,357564,83374186,NAJJARW,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,21-12-2018,612
RPS FPS 10972403887987,01-01-2018 00:00,RP8768966481870470,RP46937712745374710447382319618961874,261,GBP,01-01-2018,279217,25060222,Gwenneth Schultes,325166,65940041,BAHA'AL-LAYIQ,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,01-01-2018,812
RPS FPS 49496532724596,27-01-2018 00:00,RP4056125152502540,RP46947752062669724792286211089029687,178,GBP,27-01-2018,571047,25119222,Pepita Roffe,493772,70977601,BAL-LAYIQ,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-01-2018,812
RPS FPS 57112452791383,15-12-2018 00:00,RP1097500622228860,RP46907102022457715158688472229221434,975,GBP,15-12-2018,393392,25149222,Sanderson Worsell,454413,53757792,AL-LAYIQB,INVOICES 22 +27,10,FPS,BOOK,COMPLETE,O,934,11,15-12-2018,603
RPS FPS 41439430313043,03-02-2018 00:00,RP3835753600511860,RP46912381697406589047980247289336348,72,GBP,03-02-2018,459685,25156222,Davita Rollason,252007,79874628,JAMA'JAMA',EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,03-02-2018,612
RPS FPS 97189023598113,25-09-2018 00:00,RP7568412149698770,RP46910501713136553535386034388907615,995,GBP,25-09-2018,522782,25200222,Kial Zmitrovich,392236,83281591,JJAMA',TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,25-09-2018,612
RPS FPS 69631243917953,26-12-2018 00:00,RP2483474784714920,RP46851722969871374269380224968883942,710,GBP,26-12-2018,245391,25251222,Elden Dulake,237591,87242228,JAMA'J,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,26-12-2018,812
RPS FPS 31774283460188,05-03-2018 00:00,RP3953067975033960,RP46805871585601616229584555409132978,388,GBP,05-03-2018,440997,25269222,Jannelle Shee,860467,35069122,ABU SHAIMA'KUWAITIWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,05-03-2018,812
RPS FPS 16097063538802,17-12-2018 00:00,RP3140850571193850,RP46854702690665538040784018929201172,240,GBP,17-12-2018,296048,25285222,Scott Mayho,380347,69393507,"ABU,SHAIMA'KUWAITI",INVOICES 22 +27,10,FPS,BOOK,COMPLETE,O,934,11,17-12-2018,603
RPS FPS 73805405721828,05-08-2018 00:00,RP6976338636946740,RP46883453083919614996079957858927126,77,GBP,05-08-2018,643064,25295222,Candy Guilder,742050,56642581,ABUKUWAITI,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,05-08-2018,612
RPS FPS 59021067130775,09-03-2018 00:00,RP1522974442031760,RP46989471231287608730180940549126602,983,GBP,09-03-2018,687827,25338222,Myca Horder,352926,69983532,SHAIMA'KUWAITI,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,09-03-2018,612
RPS FPS 72536403608239,20-02-2018 00:00,RP3803589583295540,RP46979301437823626201982992688909636,118,GBP,20-02-2018,349371,25348222,Latrina Mimmack,244124,52208582,AKUWAITI,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-02-2018,812
RPS FPS 63820477918089,04-04-2018 00:00,RP9686545851988210,RP46983461814304488415180860618872968,939,GBP,04-04-2018,697404,25375222,Claudelle Braime,440374,69325223,KUWAITIA,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,04-04-2018,812
RPS FPS 58458905760472,01-06-2018 00:00,RP9629970604203790,RP46894233431269629265980732908868147,70,GBP,01-06-2018,619656,25406222,Minna Shelf,838413,77659937,"A,SKUWAITI",INVOICES 22 +28,10,FPS,BOOK,COMPLETE,O,934,11,01-06-2018,603
RPS FPS 38901405111419,11-10-2018 00:00,RP1136149156905190,RP46875203429589650478892807909242231,654,GBP,11-10-2018,699807,25436222,Fifi Walsh,756970,58365464,KUWAITIA S,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,11-10-2018,612
RPS FPS 22568876246406,16-08-2018 00:00,RP5182299650961800,RP46960321708777644871578927968821597,579,GBP,16-08-2018,450490,25478222,Linnie Prandin,490697,76532646,"ABU,SKUWAITI",TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,16-08-2018,612
RPS FPS 32033693491095,19-06-2018 00:00,RP6432390493306860,RP46810312296120457389380967399098800,943,GBP,19-06-2018,377613,25497222,Georgiana Hollindale,433317,55099554,KUWAITIABU S,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,19-06-2018,812
RPS FPS 84410277959665,10-10-2018 00:00,RP5372055156279170,RP46899221477509347436784197199166991,266,GBP,10-10-2018,372688,25509222,Mimi McGaffey,588858,42319829,SKUWAITI,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,10-10-2018,812
RPS FPS 15170383123578,08-05-2018 00:00,RP6673117329038100,RP46853362871137743388879873359064839,102,GBP,08-05-2018,595441,25608222,Kilian Chooter,235375,51004916,KUWAITIS,INVOICES 22 +28,10,FPS,BOOK,COMPLETE,O,934,11,08-05-2018,603
RPS FPS 36282234279810,22-06-2018 00:00,RP5958961015937710,RP46914671586414530500181295799247933,385,GBP,22-06-2018,858583,25609222,Gerhard Clarage,636320,85374028,KUWAITIABU,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,22-06-2018,612
RPS FPS 32136125035303,26-01-2018 00:00,RP3375946964700200,RP46953401587322623684287806538965639,113,GBP,26-01-2018,608475,25614222,Pierre Dunnan,790484,77020699,KUWAITISHAIMA',TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,26-01-2018,612
